Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0121MN1,2019.03,20024,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Professional, Scientific, and Technical Services",,
RNAA.SG01NAC34B0121MN2,2000.03,1677,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2001.03,1678,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2002.03,1868,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2003.03,2016,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2004.03,2164,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2005.03,2346,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2006.03,2590,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2007.03,2950,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2008.03,3147,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2009.03,2992,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2010.03,2961,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2011.03,3207,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2012.03,3380,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2013.03,3366,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2014.03,3450,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2015.03,3649,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2016.03,3948,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2017.03,4358,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2018.03,4607,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121MN2,2019.03,4914,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Administrative and Support Services,,
RNAA.SG01NAC34B0121OOZ,2000.03,3588,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121OOZ,2001.03,3749,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121OOZ,2002.03,3981,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121OOZ,2003.03,4201,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121OOZ,2004.03,4429,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
